# Склад набору «компоненти під зварювання». Читають make.sh і make_bom.py.
# own «-» = компонент будується в parts.scad; інакше дістається з вузла через $sel/$one.
# вісь = яка вісь МОДЕЛІ дивиться вгору на столі (обрано обміром: найтонший розмір догори,
#        але круглі стоять на кільці, а пальці — на голівці).
# поворот = попередній поворот навколо Y моделі, ° — для деталей, нахилених у вузлі;
#        порахований із нормалі найбільшої грані, не підібраний.
# Кількості й описи взяті з echo(BOM_*) самої моделі.
# ключ_pp	вузол	вісь	поворот	файл	к-сть	група	опис
bk_lip_rib	bucket	z	0	21_bk_lip_rib	1	Ківш	Ребро губи ковша, 8 мм
bk_ear	bucket	y	0	22_bk_ear	2	Ківш	Вухо ковша (осі E і Q), лист 12 мм
bk_edge	bucket	z	130.01	23_bk_edge	1	Ківш	Ніж ковша 300×100×12 — ЗНОСОСТІЙКА сталь, фаска зверху 34°
bk_tooth	bucket	y	0	24_bk_tooth	3	Ківш	Зуб ковша — покупний приварний або з поковки
bk_wear	bucket	y	0	25_bk_wear	2	Ківш	Смуга зносу на п'яті ковша, 6 мм — гнути по радіусу п'яти
post_plate	-	y	0	26_post_plate	2	Колона	Плита поворотної колони, 12 мм — осі A і C
cyl_boom_body	-	y	0	27_cyl_boom_body	1	Гідроциліндри	Гільза циліндра стріли Ø63 з каналом під шток (покупний вузол)
cyl_boom_rod	-	y	0	28_cyl_boom_rod	1	Гідроциліндри	Шток циліндра стріли Ø40
cyl_stick_body	-	y	0	29_cyl_stick_body	1	Гідроциліндри	Гільза циліндра рукояті Ø50 з каналом під шток
cyl_stick_rod	-	y	0	30_cyl_stick_rod	1	Гідроциліндри	Шток циліндра рукояті Ø25
cyl_bucket_body	-	y	0	31_cyl_bucket_body	1	Гідроциліндри	Гільза циліндра ковша Ø50 з каналом під шток
cyl_bucket_rod	-	y	0	32_cyl_bucket_rod	1	Гідроциліндри	Шток циліндра ковша Ø25
A_bushing	-	y	0	33_A_bushing	1	Втулки й бобишки	Втулка-бобишка осі A, труба Ø66/30×140
B_bushing	-	y	0	34_B_bushing	1	Втулки й бобишки	Втулка-бобишка осі B, Ø66/30×76
E_bushing	-	y	0	35_E_bushing	1	Втулки й бобишки	Втулка-бобишка осі E, Ø66/30×80
R_bushing	-	y	0	36_R_bushing	1	Втулки й бобишки	Втулка осі коромисла R, Ø45/30×80
G_boss	-	y	0	37_G_boss	2	Втулки й бобишки	Розпірна втулка осі G, Ø39/25.5×16.5 — приварити до щоки
J_boss	-	y	0	38_J_boss	2	Втулки й бобишки	Бобишка осі J, Ø41/25.5×27.5 — приварити до пластини коромисла
link_boss	-	y	0	39_link_boss	4	Втулки й бобишки	Бобишка тяги на осях J і Q, Ø50/25.5×25 — приварити зовні до тяги
bk_boss_E	-	y	0	40_bk_boss_E	2	Втулки й бобишки	Зовнішня бобишка вуха ковша на осі E, Ø60/30.5×10
bk_spacer_Q	-	y	0	41_bk_spacer_Q	1	Втулки й бобишки	Розпірна втулка осі Q між вухами ковша, Ø45/25.5×82
washer_B	-	y	0	42_washer_B	2	Втулки й бобишки	Упорна шайба осі B, Ø76/30.5×2
pin_A	-	z	0	43_pin_A	1	Пальці	Палець осі A — стріла на колоні, Ø30×182
pin_C	-	z	0	44_pin_C	1	Пальці	Палець осі C — база циліндра стріли на колоні, Ø30×74 (та сама позиція, що й палець D)
pin_B	-	z	0	45_pin_B	1	Пальці	Палець осі B — стріла–рукоять, Ø30×128
pin_D	-	z	0	46_pin_D	1	Пальці	Палець осі D — шток циліндра стріли, Ø30×74
pin_E	-	z	0	47_pin_E	1	Пальці	Палець осі E — рукоять–ківш, Ø30×150
pin_F	-	z	0	48_pin_F	1	Пальці	Палець осі F — база циліндра рукояті, Ø25×71
pin_G	-	z	0	49_pin_G	1	Пальці	Палець осі G — шток циліндра рукояті, Ø25×96
pin_H	-	z	0	50_pin_H	1	Пальці	Палець осі H — база циліндра ковша, Ø25×71
pin_J	-	z	0	51_pin_J	1	Пальці	Палець осі J — шток циліндра ковша, Ø25×198
pin_Q	-	z	0	52_pin_Q	1	Пальці	Палець осі Q — тяга–ківш, Ø25×198
pin_R	-	z	0	53_pin_R	1	Пальці	Палець осі R — коромисло, Ø30×102
